base,city,img1_L2,img2_L2,img3_L2,mean_L2,max_L2,up25per_L2,img1_PSNR,img2_PSNR,img3_PSNR,mean_PSNR,max_PSNR,up25per_PSNR,img1_SSIM,img2_SSIM,img3_SSIM,mean_SSIM,max_SSIM,up25per_SSIM,img1_LPIPS,img2_LPIPS,img3_LPIPS,mean_LPIPS,max_LPIPS,up25per_LPIPS
19_26_r1_d1,Kigali,95.85906219,99.24571991,98.4432373,97.8493398,99.24571991,98.84447861,12.14350796,11.84193611,11.91245461,11.96596622,12.14350796,12.02798128,0.061345432,0.057324525,0.058781222,0.059150393,0.061345432,0.060063327,0.390173554,0.406177342,0.388978243,0.395109713,0.406177342,0.398175448
15_9_r1_d1,Kinshasa,43.58522797,32.66675186,56.6836853,44.31188838,56.6836853,50.13445663,16.5246067,17.60700035,16.67288208,16.93482971,17.60700035,17.13994122,0.539253592,0.527974367,0.524649978,0.530625979,0.539253592,0.53361398,0.439826071,0.3194561,0.525197983,0.428160052,0.525197983,0.482512027
44_13_r0_d1,Chicago,129.8358765,129.6626587,154.0462494,137.8482615,154.0462494,141.9410629,9.508277893,9.519873619,7.95475626,8.994302591,9.519873619,9.514075756,0.059616659,0.054622162,0.05706647,0.057101764,0.059616659,0.058341565,0.461232781,0.4080998,0.452966839,0.440766474,0.461232781,0.45709981
39_48_r1_d1,Stockholm,73.44932556,70.06013489,108.1538925,83.88778432,108.1538925,90.80160904,12.51821518,14.30390739,9.450175285,12.09076595,14.30390739,13.41106129,0.222365916,0.238586813,0.158464208,0.206472312,0.238586813,0.230476364,0.674206793,0.706391096,0.691438615,0.690678835,0.706391096,0.698914856
11_37_r0_d0,HongKong,109.9551239,98.92568207,111.2183914,106.6997325,111.2183914,110.5867577,10.95186329,11.86999035,10.85264111,11.22483158,11.86999035,11.41092682,0.10227783,0.097490102,0.087471768,0.095746567,0.10227783,0.099883966,0.536019862,0.507865906,0.592127204,0.545337657,0.592127204,0.564073533
32_31_r1_d2,Stockholm,93.26570892,91.61873627,95.19928741,93.3612442,95.19928741,94.23249817,12.10486603,12.36448383,12.10070515,12.19001834,12.36448383,12.23467493,0.211150497,0.160375804,0.160854235,0.177460179,0.211150497,0.186002366,0.426062077,0.44009006,0.452025354,0.439392497,0.452025354,0.446057707
56_28_r0_d1,Chicago,134.8568115,140.816452,137.677597,137.7836202,140.816452,139.2470245,8.866612434,8.700311661,8.9647789,8.843900998,8.9647789,8.915695667,0.155415744,0.125140741,0.135694429,0.138750305,0.155415744,0.145555086,0.567983568,0.577083111,0.544389725,0.563152134,0.577083111,0.572533339
43_3_r0_d0,SaoPaulo,132.0700836,135.9717255,142.495697,136.8458354,142.495697,139.2337112,9.360082626,9.107199669,8.700137138,9.055806478,9.360082626,9.233641148,0.079544798,0.071648724,0.070633881,0.073942468,0.079544798,0.075596761,0.490008563,0.515648961,0.509294271,0.504983932,0.515648961,0.512471616
21_39_r0_d0,SaoPaulo,138.5178375,140.0892029,141.2809906,139.962677,141.2809906,140.6850967,8.946058273,8.848079681,8.774497986,8.85621198,8.946058273,8.897068977,0.034056146,0.030318527,0.028973671,0.031116114,0.034056146,0.032187336,0.417994022,0.413847536,0.412045062,0.414628873,0.417994022,0.415920779
34_45_r0_d0,Chicago,136.175293,142.414856,149.618988,142.736379,149.618988,146.016922,8.887390137,8.636672974,8.208045006,8.577369372,8.887390137,8.762031555,0.090809323,0.038764291,0.07156831,0.067047308,0.090809323,0.081188817,0.498028934,0.482699364,0.506936848,0.495888382,0.506936848,0.502482891
