base,city,img1_2SSIM,img1_2MS_SSIM,img1_2LPIPS,img2_3SSIM,img2_3MS_SSIM,img2_3LPIPS,img1_3SSIM,img1_3MS_SSIM,img1_3LPIPS,mean_SSIM,mean_MS_SSIM,mean_LPIPS
58_44_r0_d0,Mexico,0.15023596584796906,0.29758939146995544,0.25977176427841187,0.1034497395157814,0.2306196540594101,0.2577463984489441,0.0898556113243103,0.19654077291488647,0.27831774950027466,0.11451377222935359,0.24158327281475067,0.2652786374092102
33_49_r0_d1,Munich,0.2800953686237335,0.3073105812072754,0.5216026306152344,0.25141432881355286,0.10210777074098587,0.5184756517410278,0.2813245952129364,0.21213166415691376,0.5471924543380737,0.2709447642167409,0.207183338701725,0.5290902455647787
33_50_r1_d1,Kinshasa,0.1897059977054596,0.18032978475093842,0.31045305728912354,0.2125072479248047,0.20907874405384064,0.30411988496780396,0.1632106453180313,0.13440322875976562,0.2987655997276306,0.18847463031609854,0.17460391918818155,0.30444618066151935
13_21_r0_d1,Mexico,0.10599713772535324,0.2538640797138214,0.3436548113822937,0.08236854523420334,0.2173074632883072,0.3713521957397461,0.07102185487747192,0.19927459955215454,0.3718232214450836,0.08646251261234283,0.2234820475180944,0.3622767428557078
28_55_r0_d1,HongKong,0.12347666174173355,0.08226389437913895,0.5376824736595154,0.12183120846748352,0.05704469978809357,0.6193098425865173,0.12848545610904694,0.019664661958813667,0.5950914621353149,0.12459777543942134,0.052991085375348725,0.5840279261271158
29_68_r0_d0,Chicago,0.05953771993517876,0.195939838886261,0.34641891717910767,0.030889835208654404,0.06555531919002533,0.4533476233482361,0.058793917298316956,0.1679878979921341,0.43139728903770447,0.04974049081405004,0.14316101868947348,0.4103879431883494
15_47_r0_d1,Chicago,0.27269163727760315,0.39440786838531494,0.3854029178619385,0.20121243596076965,0.36605188250541687,0.41083401441574097,0.12107387185096741,0.2274135798215866,0.37849006056785583,0.19832598169644675,0.32929111023743945,0.3915756642818451
41_13_r0_d0,Chicago,0.2607264220714569,0.511157214641571,0.27260610461235046,0.34542253613471985,0.5921042561531067,0.27882319688796997,0.29347237944602966,0.5739908218383789,0.2829594910144806,0.29987377921740216,0.5590840975443522,0.27812959750493366
41_54_r1_d2,Stockholm,0.12268655747175217,0.10826637595891953,0.38980385661125183,0.07418393343687057,0.043000299483537674,0.4007369875907898,0.07740847021341324,0.057759325951337814,0.409756064414978,0.091426320374012,0.06967533379793167,0.40009896953900653
40_86_r0_d1,Singapore,0.14538374543190002,0.0955466628074646,0.33762186765670776,0.17765399813652039,0.3121642768383026,0.36752572655677795,0.12718190252780914,0.0,0.3940151333808899,0.15007321536540985,0.13590364654858908,0.36638757586479187
16_45_r2_d2,HongKong,0.04043525829911232,0.0,0.4648708999156952,0.031984325498342514,0.0,0.5069966912269592,0.031504519283771515,0.009392649866640568,0.5423039197921753,0.03464136769374212,0.0031308832888801894,0.5047238369782766
22_42_r1_d0,Kigali,0.10537777841091156,0.03610089793801308,0.4281243085861206,0.14737530052661896,0.10783454030752182,0.4416046738624573,0.1144457459449768,0.04987221956253052,0.3858602046966553,0.12239960829416911,0.06460255260268848,0.41852972904841107
23_17_r0_d0,Kigali,0.12836682796478271,0.05438891053199768,0.41449859738349915,0.15997706353664398,0.14174576103687286,0.40299075841903687,0.1250598430633545,0.07797828316688538,0.36348921060562134,0.13780124485492706,0.09137098491191864,0.39365952213605243
40_76_r0_d1,Mexico,0.2840445339679718,0.175730898976326,0.43819472193717957,0.25948405265808105,0.18699754774570465,0.4728064239025116,0.2541698217391968,0.16852617263793945,0.4614834785461426,0.2658994694550832,0.17708487311999002,0.4574948747952779
12_58_r1_d0,Kinshasa,0.22099293768405914,0.102561354637146,0.4282532334327698,0.2166064977645874,0.1793302744626999,0.4035818576812744,0.11284027248620987,0.06301210075616837,0.27117642760276794,0.18347990264495215,0.11496790995200475,0.3676705062389374
58_28_r0_d2,Stockholm,0.36666521430015564,0.6539849638938904,0.37207430601119995,0.29667285084724426,0.48318684101104736,0.47595828771591187,0.3841068148612976,0.5997664332389832,0.34525689482688904,0.3491482933362325,0.5789794127146403,0.3977631628513336
38_13_r0_d0,SaoPaulo,0.045875221490859985,0.03991304710507393,0.42749881744384766,0.05640917271375656,0.1114126667380333,0.43081918358802795,0.035624947398900986,0.018000079318881035,0.41932153701782227,0.045969780534505844,0.056441931053996086,0.425879846016566
5_30_r0_d0,Kigali,0.3013859987258911,0.21458469331264496,0.4173756241798401,0.3144257664680481,0.13126105070114136,0.40079933404922485,0.31041303277015686,0.16996414959430695,0.3940555155277252,0.30874159932136536,0.17193663120269775,0.40407682458559674
80_19_r0_d0,Mexico,0.04050318896770477,0.006018609274178743,0.3695603907108307,0.06338207423686981,0.055111125111579895,0.3669453561306,0.041663698852062225,0.033623356372117996,0.3434491753578186,0.0485163206855456,0.031584363585958876,0.35998497406641644
28_72_r0_d0,Kinshasa,0.19175377488136292,0.12022092193365097,0.41574573516845703,0.18672393262386322,0.16482485830783844,0.41524484753608704,0.09127810597419739,0.041731227189302444,0.2455972135066986,0.15658527115980783,0.10892566914359729,0.3588625987370809
55_12_r0_d0,Chicago,0.08747458457946777,0.16096599400043488,0.3891716003417969,0.07781756669282913,0.12089014053344727,0.37301120162010193,0.09905339777469635,0.0,0.3923192024230957,0.08811518301566441,0.09395204484462738,0.38483400146166485
37_71_r0_d0,Mexico,0.07489965111017227,0.0,0.4069458544254303,0.17915266752243042,0.23482312262058258,0.4506034553050995,0.0647563561797142,0.0,0.4915364980697632,0.1062695582707723,0.07827437420686086,0.44969526926676434
29_51_r0_d0,SaoPaulo,0.04870513454079628,0.0,0.3849693834781647,0.02971867471933365,0.005669341888278723,0.3602428436279297,0.017240876331925392,0.00502242473885417,0.3990740180015564,0.031888228530685105,0.0035639222090442977,0.3814287483692169
13_21_r0_d0,Singapore,0.10197044909000397,0.14302842319011688,0.4929395616054535,0.10215957462787628,0.09468451887369156,0.5166138410568237,0.07656916230916977,0.06075012683868408,0.5406232476234436,0.09356639534235,0.09948768963416417,0.5167255500952402
43_21_r0_d2,Stockholm,0.0729748085141182,0.020527340471744537,0.36744052171707153,0.07571148127317429,0.0,0.4136657416820526,0.05733165517449379,0.0,0.41177934408187866,0.06867264832059543,0.0068424468239148455,0.3976285358270009
38_22_r0_d1,SaoPaulo,0.016515010967850685,0.0,0.37219709157943726,0.031040029600262642,0.02891223132610321,0.3849942982196808,0.03614051267504692,0.0892418846487999,0.31842106580734253,0.02789851774772008,0.039384705324967705,0.3585374852021535
61_53_r1_d0,Orlando,0.10961847752332687,0.16469056904315948,0.38614335656166077,0.07530611753463745,0.0373007170855999,0.46562278270721436,0.0792739987373352,0.03317062556743622,0.4387608468532562,0.08806619793176651,0.07838730389873187,0.43017566204071045
24_36_r1_d2,HongKong,0.0426853783428669,0.14150312542915344,0.3828885853290558,0.03939919173717499,0.16593992710113525,0.37790948152542114,0.0318172350525856,0.09948740154504776,0.4059379994869232,0.037967268377542496,0.1356434846917788,0.38891202211380005
53_53_r0_d1,Chicago,0.1022314801812172,0.2833901345729828,0.3177012503147125,0.05576622858643532,0.06663104146718979,0.4571840465068817,0.07116268575191498,0.09109828621149063,0.46408623456954956,0.07638679817318916,0.1470398207505544,0.4129905104637146
43_51_r0_d1,Kinshasa,0.3406427204608917,0.1810995191335678,0.3358539044857025,0.30069249868392944,0.16903841495513916,0.36023181676864624,0.31439605355262756,0.24271132051944733,0.3304286003112793,0.3185770908991496,0.1976164182027181,0.34217144052187604
82_20_r0_d1,Orlando,0.18430593609809875,0.16786618530750275,0.5151256918907166,0.14010365307331085,0.0,0.5480451583862305,0.13862907886505127,0.12882405519485474,0.5852847099304199,0.15434622267882028,0.09889674683411916,0.5494851867357889
25_30_r0_d1,SaoPaulo,0.02826445735991001,0.031529996544122696,0.37734851241111755,0.018700342625379562,0.017286205664277077,0.38130927085876465,0.020488601177930832,0.04520559683442116,0.3734591603279114,0.022484467054406803,0.03134059968094031,0.37737231453259784
28_60_r1_d0,Kinshasa,0.08460111916065216,0.07778062671422958,0.2877492904663086,0.09353030472993851,0.07825642079114914,0.31670719385147095,0.07414291054010391,0.07347282767295837,0.3242585062980652,0.08409144481023152,0.07650329172611237,0.3095716635386149
9_46_r0_d1,SaoPaulo,0.05676613375544548,0.031155457720160484,0.40046918392181396,0.03577279672026634,0.009632173925638199,0.4023929238319397,0.0456865094602108,0.038765136152505875,0.4321111738681793,0.04607514664530754,0.02651758926610152,0.41165776054064435
